20250409223604|20250409221831|Bàn2|duong|Khai Vị:Chả giò:1.04:3|3.12|2025-04-09 22:36:04|Tiền mặt|| 0.00
20250409223608|20250409221831|Bàn2|duong|Khai Vị:Gỏi cuốn:0.83:3|2.49|2025-04-09 22:36:08|Tiền mặt|| 0.00
20250409224732|20250409221831|Bàn2|duong|Món Chính:Cá kho tộ:2.29:4|9.16|2025-04-09 22:47:32|Tiền mặt|| 0.00
20250409224752|20250409221831|Bàn6|Dũng|Khai Vị:Súp cua:1.25:4|5.00|2025-04-09 22:47:52|Tiền mặt|| 0.00
20250409224756|20250409221831|Bàn6|Dũng|Khai Vị:Gỏi cuốn:0.83:3;Món Chính:Cá kho tộ:2.29:2|7.07|2025-04-09 22:47:56|Tiền mặt|| 0.00
20250409224845|20250409221831|Bàn6|duong|Khai Vị:Chả giò:1.04:3|3.12|2025-04-09 22:48:45|Chuyển khoản|| 0.00
20250409225029|20250409221831|Bàn2|duong|Khai Vị:Súp cua:1.25:2|2.50|2025-04-09 22:50:29|Chuyển khoản|| 0.00
20250410000152|20250409221831|Bàn2|duong|Khai Vị:Chả giò:1.04:1;Món Chính:Phở bò:2.08:1|3.12|2025-04-10 00:01:52|Tiền mặt|| 0.00
20250410000155|20250409221831|Bàn2|duong|Khai Vị:Súp cua:1.25:2|2.50|2025-04-10 00:01:55|Tiền mặt|| 0.00
20250410002003|20250409221831|Bàn2|duong|Khai Vị:Chả giò:1.04:2|2.08|2025-04-10 00:20:03|Chuyển khoản|0.00
